what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1429763965293
closed,view,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1429763965313
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1429763974067
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1429763974208
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1429763974482
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1429763974741
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1429763978083
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1429763978083
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1429763979441
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1429763979542
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1429763984263
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1429763984264
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1429763985761
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1429763992490
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1429763992562
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429764014180
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429764015887
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429764017042
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429764018116
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429764020363
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429764021497
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429764022703
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429764024827
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429764038693
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1429764042118
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429764042936
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1429764043221
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1429764043300
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1429764043843
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429764047685
error,log,,,"Could not write metadata for '/RemoteSystemsTempFiles'.",1429764228754
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429764230913
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429764235446
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429764235570
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429764237982
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1429764296475
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429764296579
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429764303731
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1429764317455
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1429764317706
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1429764317775
